Year,Country_of_Birth,Adoption_Type,Age_Group,Gender,Number
2017,"Tanzania, United Republic of",Single-parent,18+,Total,0
2017,"Tanzania, United Republic of",Single-parent,18+,Male,0
2017,"Tanzania, United Republic of",Single-parent,18+,Female,0
2017,Togo,Total,Total,Total,0
2017,Togo,Total,Total,Male,0
2017,Togo,Total,Total,Female,0
2017,Togo,Total,0-17,Total,0
2017,Togo,Total,0-17,Male,0
2017,Togo,Total,0-17,Female,0
2017,Togo,Total,18+,Total,0
2017,Togo,Total,18+,Male,0
2017,Togo,Total,18+,Female,0
2017,Togo,Two-parent,Total,Total,0
2017,Togo,Two-parent,Total,Male,0
2017,Togo,Two-parent,Total,Female,0
2017,Togo,Two-parent,0-17,Total,0
2017,Togo,Two-parent,0-17,Male,0
2017,Togo,Two-parent,0-17,Female,0
2017,Togo,Two-parent,18+,Total,0
2017,Togo,Two-parent,18+,Male,0
2017,Togo,Two-parent,18+,Female,0
2017,Togo,Single-parent,Total,Total,0
2017,Togo,Single-parent,Total,Male,0
2017,Togo,Single-parent,Total,Female,0
2017,Togo,Single-parent,0-17,Total,0
2017,Togo,Single-parent,0-17,Male,0
2017,Togo,Single-parent,0-17,Female,0
2017,Togo,Single-parent,18+,Total,0
2017,Togo,Single-parent,18+,Male,0
2017,Togo,Single-parent,18+,Female,0
2017,Chad,Total,Total,Total,0
2017,Chad,Total,Total,Male,0
2017,Chad,Total,Total,Female,0
2017,Chad,Total,0-17,Total,0
2017,Chad,Total,0-17,Male,0
2017,Chad,Total,0-17,Female,0
2017,Chad,Total,18+,Total,0
2017,Chad,Total,18+,Male,0
2017,Chad,Total,18+,Female,0
2017,Chad,Two-parent,Total,Total,0
2017,Chad,Two-parent,Total,Male,0
2017,Chad,Two-parent,Total,Female,0
2017,Chad,Two-parent,0-17,Total,0
2017,Chad,Two-parent,0-17,Male,0
2017,Chad,Two-parent,0-17,Female,0
2017,Chad,Two-parent,18+,Total,0
2017,Chad,Two-parent,18+,Male,0
2017,Chad,Two-parent,18+,Female,0
2017,Chad,Single-parent,Total,Total,0
2017,Chad,Single-parent,Total,Male,0
2017,Chad,Single-parent,Total,Female,0
2017,Chad,Single-parent,0-17,Total,0
2017,Chad,Single-parent,0-17,Male,0
2017,Chad,Single-parent,0-17,Female,0
2017,Chad,Single-parent,18+,Total,0
2017,Chad,Single-parent,18+,Male,0
2017,Chad,Single-parent,18+,Female,0
2017,Tunisia,Total,Total,Total,0
2017,Tunisia,Total,Total,Male,0
2017,Tunisia,Total,Total,Female,0
2017,Tunisia,Total,0-17,Total,0
2017,Tunisia,Total,0-17,Male,0
2017,Tunisia,Total,0-17,Female,0
2017,Tunisia,Total,18+,Total,0
2017,Tunisia,Total,18+,Male,0
2017,Tunisia,Total,18+,Female,0
2017,Tunisia,Two-parent,Total,Total,0
2017,Tunisia,Two-parent,Total,Male,0
2017,Tunisia,Two-parent,Total,Female,0
2017,Tunisia,Two-parent,0-17,Total,0
2017,Tunisia,Two-parent,0-17,Male,0
2017,Tunisia,Two-parent,0-17,Female,0
2017,Tunisia,Two-parent,18+,Total,0
2017,Tunisia,Two-parent,18+,Male,0
2017,Tunisia,Two-parent,18+,Female,0
2017,Tunisia,Single-parent,Total,Total,0
2017,Tunisia,Single-parent,Total,Male,0
2017,Tunisia,Single-parent,Total,Female,0
2017,Tunisia,Single-parent,0-17,Total,0
2017,Tunisia,Single-parent,0-17,Male,0
2017,Tunisia,Single-parent,0-17,Female,0
2017,Tunisia,Single-parent,18+,Total,0
2017,Tunisia,Single-parent,18+,Male,0
2017,Tunisia,Single-parent,18+,Female,0
2017,Uganda,Total,Total,Total,0
2017,Uganda,Total,Total,Male,0
2017,Uganda,Total,Total,Female,0
2017,Uganda,Total,0-17,Total,0
2017,Uganda,Total,0-17,Male,0
2017,Uganda,Total,0-17,Female,0
2017,Uganda,Total,18+,Total,0
2017,Uganda,Total,18+,Male,0
2017,Uganda,Total,18+,Female,0
2017,Uganda,Two-parent,Total,Total,0
2017,Uganda,Two-parent,Total,Male,0
2017,Uganda,Two-parent,Total,Female,0
2017,Uganda,Two-parent,0-17,Total,0
2017,Uganda,Two-parent,0-17,Male,0
2017,Uganda,Two-parent,0-17,Female,0
2017,Uganda,Two-parent,18+,Total,0
2017,Uganda,Two-parent,18+,Male,0
2017,Uganda,Two-parent,18+,Female,0
2017,Uganda,Single-parent,Total,Total,0
2017,Uganda,Single-parent,Total,Male,0
2017,Uganda,Single-parent,Total,Female,0
2017,Uganda,Single-parent,0-17,Total,0
2017,Uganda,Single-parent,0-17,Male,0
2017,Uganda,Single-parent,0-17,Female,0
2017,Uganda,Single-parent,18+,Total,0
2017,Uganda,Single-parent,18+,Male,0
2017,Uganda,Single-parent,18+,Female,0
2017,Zimbabwe,Total,Total,Total,0
2017,Zimbabwe,Total,Total,Male,0
2017,Zimbabwe,Total,Total,Female,0
2017,Zimbabwe,Total,0-17,Total,0
2017,Zimbabwe,Total,0-17,Male,0
2017,Zimbabwe,Total,0-17,Female,0
2017,Zimbabwe,Total,18+,Total,0
2017,Zimbabwe,Total,18+,Male,0
2017,Zimbabwe,Total,18+,Female,0
2017,Zimbabwe,Two-parent,Total,Total,0
2017,Zimbabwe,Two-parent,Total,Male,0
2017,Zimbabwe,Two-parent,Total,Female,0
2017,Zimbabwe,Two-parent,0-17,Total,0
2017,Zimbabwe,Two-parent,0-17,Male,0
2017,Zimbabwe,Two-parent,0-17,Female,0
2017,Zimbabwe,Two-parent,18+,Total,0
2017,Zimbabwe,Two-parent,18+,Male,0
2017,Zimbabwe,Two-parent,18+,Female,0
2017,Zimbabwe,Single-parent,Total,Total,0
2017,Zimbabwe,Single-parent,Total,Male,0
2017,Zimbabwe,Single-parent,Total,Female,0
2017,Zimbabwe,Single-parent,0-17,Total,0
2017,Zimbabwe,Single-parent,0-17,Male,0
2017,Zimbabwe,Single-parent,0-17,Female,0
2017,Zimbabwe,Single-parent,18+,Total,0
2017,Zimbabwe,Single-parent,18+,Male,0
2017,Zimbabwe,Single-parent,18+,Female,0
2017,AMERICA,Total,Total,Total,11
2017,AMERICA,Total,Total,Male,7
2017,AMERICA,Total,Total,Female,4
2017,AMERICA,Total,0-17,Total,11
2017,AMERICA,Total,0-17,Male,7
2017,AMERICA,Total,0-17,Female,4
2017,AMERICA,Total,18+,Total,0
2017,AMERICA,Total,18+,Male,0
2017,AMERICA,Total,18+,Female,0
2017,AMERICA,Two-parent,Total,Total,9
2017,AMERICA,Two-parent,Total,Male,6
2017,AMERICA,Two-parent,Total,Female,3
2017,AMERICA,Two-parent,0-17,Total,9
2017,AMERICA,Two-parent,0-17,Male,6
2017,AMERICA,Two-parent,0-17,Female,3
2017,AMERICA,Two-parent,18+,Total,0
2017,AMERICA,Two-parent,18+,Male,0
2017,AMERICA,Two-parent,18+,Female,0
2017,AMERICA,Single-parent,Total,Total,2
2017,AMERICA,Single-parent,Total,Male,1
2017,AMERICA,Single-parent,Total,Female,1
2017,AMERICA,Single-parent,0-17,Total,2
2017,AMERICA,Single-parent,0-17,Male,1
2017,AMERICA,Single-parent,0-17,Female,1
2017,AMERICA,Single-parent,18+,Total,0
2017,AMERICA,Single-parent,18+,Male,0
2017,AMERICA,Single-parent,18+,Female,0
2017,Antigua and Barbuda,Total,Total,Total,0
2017,Antigua and Barbuda,Total,Total,Male,0
2017,Antigua and Barbuda,Total,Total,Female,0
2017,Antigua and Barbuda,Total,0-17,Total,0
2017,Antigua and Barbuda,Total,0-17,Male,0
2017,Antigua and Barbuda,Total,0-17,Female,0
2017,Antigua and Barbuda,Total,18+,Total,0
2017,Antigua and Barbuda,Total,18+,Male,0
2017,Antigua and Barbuda,Total,18+,Female,0
2017,Antigua and Barbuda,Two-parent,Total,Total,0
2017,Antigua and Barbuda,Two-parent,Total,Male,0
2017,Antigua and Barbuda,Two-parent,Total,Female,0
2017,Antigua and Barbuda,Two-parent,0-17,Total,0
2017,Antigua and Barbuda,Two-parent,0-17,Male,0
2017,Antigua and Barbuda,Two-parent,0-17,Female,0
2017,Antigua and Barbuda,Two-parent,18+,Total,0
2017,Antigua and Barbuda,Two-parent,18+,Male,0
2017,Antigua and Barbuda,Two-parent,18+,Female,0
2017,Antigua and Barbuda,Single-parent,Total,Total,0
2017,Antigua and Barbuda,Single-parent,Total,Male,0
2017,Antigua and Barbuda,Single-parent,Total,Female,0
2017,Antigua and Barbuda,Single-parent,0-17,Total,0
2017,Antigua and Barbuda,Single-parent,0-17,Male,0
2017,Antigua and Barbuda,Single-parent,0-17,Female,0
2017,Antigua and Barbuda,Single-parent,18+,Total,0
2017,Antigua and Barbuda,Single-parent,18+,Male,0
2017,Antigua and Barbuda,Single-parent,18+,Female,0
2017,Argentina,Total,Total,Total,0
2017,Argentina,Total,Total,Male,0
2017,Argentina,Total,Total,Female,0
2017,Argentina,Total,0-17,Total,0
2017,Argentina,Total,0-17,Male,0
2017,Argentina,Total,0-17,Female,0
2017,Argentina,Total,18+,Total,0
2017,Argentina,Total,18+,Male,0
2017,Argentina,Total,18+,Female,0
2017,Argentina,Two-parent,Total,Total,0
2017,Argentina,Two-parent,Total,Male,0
2017,Argentina,Two-parent,Total,Female,0
2017,Argentina,Two-parent,0-17,Total,0
2017,Argentina,Two-parent,0-17,Male,0
2017,Argentina,Two-parent,0-17,Female,0
2017,Argentina,Two-parent,18+,Total,0
2017,Argentina,Two-parent,18+,Male,0
2017,Argentina,Two-parent,18+,Female,0
2017,Argentina,Single-parent,Total,Total,0
2017,Argentina,Single-parent,Total,Male,0
2017,Argentina,Single-parent,Total,Female,0
2017,Argentina,Single-parent,0-17,Total,0
2017,Argentina,Single-parent,0-17,Male,0
2017,Argentina,Single-parent,0-17,Female,0
2017,Argentina,Single-parent,18+,Total,0
2017,Argentina,Single-parent,18+,Male,0
2017,Argentina,Single-parent,18+,Female,0
2017,Bahamas,Total,Total,Total,0
2017,Bahamas,Total,Total,Male,0
2017,Bahamas,Total,Total,Female,0
2017,Bahamas,Total,0-17,Total,0
2017,Bahamas,Total,0-17,Male,0
2017,Bahamas,Total,0-17,Female,0
2017,Bahamas,Total,18+,Total,0
2017,Bahamas,Total,18+,Male,0
2017,Bahamas,Total,18+,Female,0
2017,Bahamas,Two-parent,Total,Total,0
2017,Bahamas,Two-parent,Total,Male,0
2017,Bahamas,Two-parent,Total,Female,0
2017,Bahamas,Two-parent,0-17,Total,0
2017,Bahamas,Two-parent,0-17,Male,0
2017,Bahamas,Two-parent,0-17,Female,0
2017,Bahamas,Two-parent,18+,Total,0
2017,Bahamas,Two-parent,18+,Male,0
2017,Bahamas,Two-parent,18+,Female,0
2017,Bahamas,Single-parent,Total,Total,0
2017,Bahamas,Single-parent,Total,Male,0
2017,Bahamas,Single-parent,Total,Female,0
2017,Bahamas,Single-parent,0-17,Total,0
2017,Bahamas,Single-parent,0-17,Male,0
2017,Bahamas,Single-parent,0-17,Female,0
2017,Bahamas,Single-parent,18+,Total,0
2017,Bahamas,Single-parent,18+,Male,0
2017,Bahamas,Single-parent,18+,Female,0
2017,Barbados,Total,Total,Total,0
2017,Barbados,Total,Total,Male,0
2017,Barbados,Total,Total,Female,0
2017,Barbados,Total,0-17,Total,0
2017,Barbados,Total,0-17,Male,0
2017,Barbados,Total,0-17,Female,0
2017,Barbados,Total,18+,Total,0
2017,Barbados,Total,18+,Male,0
2017,Barbados,Total,18+,Female,0
2017,Barbados,Two-parent,Total,Total,0
2017,Barbados,Two-parent,Total,Male,0
2017,Barbados,Two-parent,Total,Female,0
2017,Barbados,Two-parent,0-17,Total,0
2017,Barbados,Two-parent,0-17,Male,0
2017,Barbados,Two-parent,0-17,Female,0
2017,Barbados,Two-parent,18+,Total,0
2017,Barbados,Two-parent,18+,Male,0
2017,Barbados,Two-parent,18+,Female,0
2017,Barbados,Single-parent,Total,Total,0
2017,Barbados,Single-parent,Total,Male,0
2017,Barbados,Single-parent,Total,Female,0
2017,Barbados,Single-parent,0-17,Total,0
2017,Barbados,Single-parent,0-17,Male,0
2017,Barbados,Single-parent,0-17,Female,0
2017,Barbados,Single-parent,18+,Total,0
2017,Barbados,Single-parent,18+,Male,0
2017,Barbados,Single-parent,18+,Female,0
2017,Belize,Total,Total,Total,0
2017,Belize,Total,Total,Male,0
2017,Belize,Total,Total,Female,0
2017,Belize,Total,0-17,Total,0
2017,Belize,Total,0-17,Male,0
2017,Belize,Total,0-17,Female,0
2017,Belize,Total,18+,Total,0
2017,Belize,Total,18+,Male,0
2017,Belize,Total,18+,Female,0
2017,Belize,Two-parent,Total,Total,0
2017,Belize,Two-parent,Total,Male,0
2017,Belize,Two-parent,Total,Female,0
2017,Belize,Two-parent,0-17,Total,0
2017,Belize,Two-parent,0-17,Male,0
2017,Belize,Two-parent,0-17,Female,0
2017,Belize,Two-parent,18+,Total,0
2017,Belize,Two-parent,18+,Male,0
2017,Belize,Two-parent,18+,Female,0
2017,Belize,Single-parent,Total,Total,0
2017,Belize,Single-parent,Total,Male,0
2017,Belize,Single-parent,Total,Female,0
2017,Belize,Single-parent,0-17,Total,0
2017,Belize,Single-parent,0-17,Male,0
2017,Belize,Single-parent,0-17,Female,0
2017,Belize,Single-parent,18+,Total,0
2017,Belize,Single-parent,18+,Male,0
2017,Belize,Single-parent,18+,Female,0
2017,Bolivia,Total,Total,Total,0
2017,Bolivia,Total,Total,Male,0
2017,Bolivia,Total,Total,Female,0
2017,Bolivia,Total,0-17,Total,0
2017,Bolivia,Total,0-17,Male,0
2017,Bolivia,Total,0-17,Female,0
2017,Bolivia,Total,18+,Total,0
2017,Bolivia,Total,18+,Male,0
2017,Bolivia,Total,18+,Female,0
2017,Bolivia,Two-parent,Total,Total,0
2017,Bolivia,Two-parent,Total,Male,0
2017,Bolivia,Two-parent,Total,Female,0
2017,Bolivia,Two-parent,0-17,Total,0
2017,Bolivia,Two-parent,0-17,Male,0
2017,Bolivia,Two-parent,0-17,Female,0
2017,Bolivia,Two-parent,18+,Total,0
2017,Bolivia,Two-parent,18+,Male,0
2017,Bolivia,Two-parent,18+,Female,0
2017,Bolivia,Single-parent,Total,Total,0
2017,Bolivia,Single-parent,Total,Male,0
2017,Bolivia,Single-parent,Total,Female,0
2017,Bolivia,Single-parent,0-17,Total,0
2017,Bolivia,Single-parent,0-17,Male,0
2017,Bolivia,Single-parent,0-17,Female,0
2017,Bolivia,Single-parent,18+,Total,0
2017,Bolivia,Single-parent,18+,Male,0
2017,Bolivia,Single-parent,18+,Female,0
2017,Brazil,Total,Total,Total,0
2017,Brazil,Total,Total,Male,0
2017,Brazil,Total,Total,Female,0
2017,Brazil,Total,0-17,Total,0
2017,Brazil,Total,0-17,Male,0
2017,Brazil,Total,0-17,Female,0
2017,Brazil,Total,18+,Total,0
2017,Brazil,Total,18+,Male,0
2017,Brazil,Total,18+,Female,0
2017,Brazil,Two-parent,Total,Total,0
2017,Brazil,Two-parent,Total,Male,0
2017,Brazil,Two-parent,Total,Female,0
2017,Brazil,Two-parent,0-17,Total,0
2017,Brazil,Two-parent,0-17,Male,0
2017,Brazil,Two-parent,0-17,Female,0
2017,Brazil,Two-parent,18+,Total,0
2017,Brazil,Two-parent,18+,Male,0
2017,Brazil,Two-parent,18+,Female,0
2017,Brazil,Single-parent,Total,Total,0
2017,Brazil,Single-parent,Total,Male,0
2017,Brazil,Single-parent,Total,Female,0
2017,Brazil,Single-parent,0-17,Total,0
2017,Brazil,Single-parent,0-17,Male,0
2017,Brazil,Single-parent,0-17,Female,0
2017,Brazil,Single-parent,18+,Total,0
2017,Brazil,Single-parent,18+,Male,0
2017,Brazil,Single-parent,18+,Female,0
2017,Chile,Total,Total,Total,0
2017,Chile,Total,Total,Male,0
2017,Chile,Total,Total,Female,0
2017,Chile,Total,0-17,Total,0
2017,Chile,Total,0-17,Male,0
2017,Chile,Total,0-17,Female,0
2017,Chile,Total,18+,Total,0
2017,Chile,Total,18+,Male,0
2017,Chile,Total,18+,Female,0
2017,Chile,Two-parent,Total,Total,0
2017,Chile,Two-parent,Total,Male,0
2017,Chile,Two-parent,Total,Female,0
2017,Chile,Two-parent,0-17,Total,0
2017,Chile,Two-parent,0-17,Male,0
2017,Chile,Two-parent,0-17,Female,0
2017,Chile,Two-parent,18+,Total,0
2017,Chile,Two-parent,18+,Male,0
2017,Chile,Two-parent,18+,Female,0
2017,Chile,Single-parent,Total,Total,0
2017,Chile,Single-parent,Total,Male,0
2017,Chile,Single-parent,Total,Female,0
2017,Chile,Single-parent,0-17,Total,0
2017,Chile,Single-parent,0-17,Male,0
2017,Chile,Single-parent,0-17,Female,0
2017,Chile,Single-parent,18+,Total,0
2017,Chile,Single-parent,18+,Male,0
2017,Chile,Single-parent,18+,Female,0
2017,Costa Rica,Total,Total,Total,0
2017,Costa Rica,Total,Total,Male,0
2017,Costa Rica,Total,Total,Female,0
2017,Costa Rica,Total,0-17,Total,0
2017,Costa Rica,Total,0-17,Male,0
2017,Costa Rica,Total,0-17,Female,0
2017,Costa Rica,Total,18+,Total,0
2017,Costa Rica,Total,18+,Male,0
2017,Costa Rica,Total,18+,Female,0
2017,Costa Rica,Two-parent,Total,Total,0
2017,Costa Rica,Two-parent,Total,Male,0
2017,Costa Rica,Two-parent,Total,Female,0
2017,Costa Rica,Two-parent,0-17,Total,0
2017,Costa Rica,Two-parent,0-17,Male,0
2017,Costa Rica,Two-parent,0-17,Female,0
2017,Costa Rica,Two-parent,18+,Total,0
2017,Costa Rica,Two-parent,18+,Male,0
2017,Costa Rica,Two-parent,18+,Female,0
2017,Costa Rica,Single-parent,Total,Total,0
2017,Costa Rica,Single-parent,Total,Male,0
2017,Costa Rica,Single-parent,Total,Female,0
2017,Costa Rica,Single-parent,0-17,Total,0
2017,Costa Rica,Single-parent,0-17,Male,0
2017,Costa Rica,Single-parent,0-17,Female,0
2017,Costa Rica,Single-parent,18+,Total,0
2017,Costa Rica,Single-parent,18+,Male,0
2017,Costa Rica,Single-parent,18+,Female,0
2017,Dominica,Total,Total,Total,0
2017,Dominica,Total,Total,Male,0
2017,Dominica,Total,Total,Female,0
2017,Dominica,Total,0-17,Total,0
2017,Dominica,Total,0-17,Male,0
2017,Dominica,Total,0-17,Female,0
2017,Dominica,Total,18+,Total,0
2017,Dominica,Total,18+,Male,0
2017,Dominica,Total,18+,Female,0
2017,Dominica,Two-parent,Total,Total,0
2017,Dominica,Two-parent,Total,Male,0
2017,Dominica,Two-parent,Total,Female,0
2017,Dominica,Two-parent,0-17,Total,0
2017,Dominica,Two-parent,0-17,Male,0
2017,Dominica,Two-parent,0-17,Female,0
2017,Dominica,Two-parent,18+,Total,0
2017,Dominica,Two-parent,18+,Male,0
2017,Dominica,Two-parent,18+,Female,0
2017,Dominica,Single-parent,Total,Total,0
2017,Dominica,Single-parent,Total,Male,0
2017,Dominica,Single-parent,Total,Female,0
2017,Dominica,Single-parent,0-17,Total,0
2017,Dominica,Single-parent,0-17,Male,0
2017,Dominica,Single-parent,0-17,Female,0
2017,Dominica,Single-parent,18+,Total,0
2017,Dominica,Single-parent,18+,Male,0
2017,Dominica,Single-parent,18+,Female,0
2017,Dominican Republic,Total,Total,Total,0
2017,Dominican Republic,Total,Total,Male,0
2017,Dominican Republic,Total,Total,Female,0
2017,Dominican Republic,Total,0-17,Total,0
2017,Dominican Republic,Total,0-17,Male,0
2017,Dominican Republic,Total,0-17,Female,0
2017,Dominican Republic,Total,18+,Total,0
2017,Dominican Republic,Total,18+,Male,0
2017,Dominican Republic,Total,18+,Female,0
2017,Dominican Republic,Two-parent,Total,Total,0
2017,Dominican Republic,Two-parent,Total,Male,0
2017,Dominican Republic,Two-parent,Total,Female,0
2017,Dominican Republic,Two-parent,0-17,Total,0
2017,Dominican Republic,Two-parent,0-17,Male,0
2017,Dominican Republic,Two-parent,0-17,Female,0
2017,Dominican Republic,Two-parent,18+,Total,0
2017,Dominican Republic,Two-parent,18+,Male,0
2017,Dominican Republic,Two-parent,18+,Female,0
2017,Dominican Republic,Single-parent,Total,Total,0
2017,Dominican Republic,Single-parent,Total,Male,0
2017,Dominican Republic,Single-parent,Total,Female,0
2017,Dominican Republic,Single-parent,0-17,Total,0
2017,Dominican Republic,Single-parent,0-17,Male,0
2017,Dominican Republic,Single-parent,0-17,Female,0
2017,Dominican Republic,Single-parent,18+,Total,0
2017,Dominican Republic,Single-parent,18+,Male,0
2017,Dominican Republic,Single-parent,18+,Female,0
2017,Ecuador,Total,Total,Total,0
2017,Ecuador,Total,Total,Male,0
2017,Ecuador,Total,Total,Female,0
2017,Ecuador,Total,0-17,Total,0
2017,Ecuador,Total,0-17,Male,0
2017,Ecuador,Total,0-17,Female,0
2017,Ecuador,Total,18+,Total,0
2017,Ecuador,Total,18+,Male,0
2017,Ecuador,Total,18+,Female,0
2017,Ecuador,Two-parent,Total,Total,0
2017,Ecuador,Two-parent,Total,Male,0
2017,Ecuador,Two-parent,Total,Female,0
2017,Ecuador,Two-parent,0-17,Total,0
2017,Ecuador,Two-parent,0-17,Male,0
2017,Ecuador,Two-parent,0-17,Female,0
2017,Ecuador,Two-parent,18+,Total,0
2017,Ecuador,Two-parent,18+,Male,0
2017,Ecuador,Two-parent,18+,Female,0
2017,Ecuador,Single-parent,Total,Total,0
2017,Ecuador,Single-parent,Total,Male,0
2017,Ecuador,Single-parent,Total,Female,0
2017,Ecuador,Single-parent,0-17,Total,0
2017,Ecuador,Single-parent,0-17,Male,0
2017,Ecuador,Single-parent,0-17,Female,0
2017,Ecuador,Single-parent,18+,Total,0
2017,Ecuador,Single-parent,18+,Male,0
2017,Ecuador,Single-parent,18+,Female,0
2017,El Salvador,Total,Total,Total,0
2017,El Salvador,Total,Total,Male,0
2017,El Salvador,Total,Total,Female,0
2017,El Salvador,Total,0-17,Total,0
2017,El Salvador,Total,0-17,Male,0
2017,El Salvador,Total,0-17,Female,0
2017,El Salvador,Total,18+,Total,0
2017,El Salvador,Total,18+,Male,0
2017,El Salvador,Total,18+,Female,0
2017,El Salvador,Two-parent,Total,Total,0
2017,El Salvador,Two-parent,Total,Male,0
2017,El Salvador,Two-parent,Total,Female,0
2017,El Salvador,Two-parent,0-17,Total,0
2017,El Salvador,Two-parent,0-17,Male,0
2017,El Salvador,Two-parent,0-17,Female,0
2017,El Salvador,Two-parent,18+,Total,0
2017,El Salvador,Two-parent,18+,Male,0
2017,El Salvador,Two-parent,18+,Female,0
2017,El Salvador,Single-parent,Total,Total,0
2017,El Salvador,Single-parent,Total,Male,0
2017,El Salvador,Single-parent,Total,Female,0
2017,El Salvador,Single-parent,0-17,Total,0
2017,El Salvador,Single-parent,0-17,Male,0
2017,El Salvador,Single-parent,0-17,Female,0
2017,El Salvador,Single-parent,18+,Total,0
2017,El Salvador,Single-parent,18+,Male,0
2017,El Salvador,Single-parent,18+,Female,0
2017,Grenada,Total,Total,Total,0
2017,Grenada,Total,Total,Male,0
2017,Grenada,Total,Total,Female,0
2017,Grenada,Total,0-17,Total,0
2017,Grenada,Total,0-17,Male,0
2017,Grenada,Total,0-17,Female,0
2017,Grenada,Total,18+,Total,0
2017,Grenada,Total,18+,Male,0
2017,Grenada,Total,18+,Female,0
2017,Grenada,Two-parent,Total,Total,0
2017,Grenada,Two-parent,Total,Male,0
2017,Grenada,Two-parent,Total,Female,0
2017,Grenada,Two-parent,0-17,Total,0
2017,Grenada,Two-parent,0-17,Male,0
2017,Grenada,Two-parent,0-17,Female,0
2017,Grenada,Two-parent,18+,Total,0
2017,Grenada,Two-parent,18+,Male,0
2017,Grenada,Two-parent,18+,Female,0
2017,Grenada,Single-parent,Total,Total,0
2017,Grenada,Single-parent,Total,Male,0
2017,Grenada,Single-parent,Total,Female,0
2017,Grenada,Single-parent,0-17,Total,0
2017,Grenada,Single-parent,0-17,Male,0
2017,Grenada,Single-parent,0-17,Female,0
2017,Grenada,Single-parent,18+,Total,0
2017,Grenada,Single-parent,18+,Male,0
2017,Grenada,Single-parent,18+,Female,0
2017,Guatemala,Total,Total,Total,0
2017,Guatemala,Total,Total,Male,0
2017,Guatemala,Total,Total,Female,0
2017,Guatemala,Total,0-17,Total,0
2017,Guatemala,Total,0-17,Male,0
2017,Guatemala,Total,0-17,Female,0
2017,Guatemala,Total,18+,Total,0
2017,Guatemala,Total,18+,Male,0
2017,Guatemala,Total,18+,Female,0
2017,Guatemala,Two-parent,Total,Total,0
2017,Guatemala,Two-parent,Total,Male,0
2017,Guatemala,Two-parent,Total,Female,0
2017,Guatemala,Two-parent,0-17,Total,0
2017,Guatemala,Two-parent,0-17,Male,0
2017,Guatemala,Two-parent,0-17,Female,0
2017,Guatemala,Two-parent,18+,Total,0
2017,Guatemala,Two-parent,18+,Male,0
2017,Guatemala,Two-parent,18+,Female,0
2017,Guatemala,Single-parent,Total,Total,0
2017,Guatemala,Single-parent,Total,Male,0
2017,Guatemala,Single-parent,Total,Female,0
2017,Guatemala,Single-parent,0-17,Total,0
2017,Guatemala,Single-parent,0-17,Male,0
2017,Guatemala,Single-parent,0-17,Female,0
2017,Guatemala,Single-parent,18+,Total,0
2017,Guatemala,Single-parent,18+,Male,0
2017,Guatemala,Single-parent,18+,Female,0
2017,Guyana,Total,Total,Total,0
2017,Guyana,Total,Total,Male,0
2017,Guyana,Total,Total,Female,0
2017,Guyana,Total,0-17,Total,0
2017,Guyana,Total,0-17,Male,0
2017,Guyana,Total,0-17,Female,0
2017,Guyana,Total,18+,Total,0
2017,Guyana,Total,18+,Male,0
2017,Guyana,Total,18+,Female,0
2017,Guyana,Two-parent,Total,Total,0
2017,Guyana,Two-parent,Total,Male,0
2017,Guyana,Two-parent,Total,Female,0
2017,Guyana,Two-parent,0-17,Total,0
2017,Guyana,Two-parent,0-17,Male,0
2017,Guyana,Two-parent,0-17,Female,0
2017,Guyana,Two-parent,18+,Total,0
2017,Guyana,Two-parent,18+,Male,0
2017,Guyana,Two-parent,18+,Female,0
2017,Guyana,Single-parent,Total,Total,0
2017,Guyana,Single-parent,Total,Male,0
2017,Guyana,Single-parent,Total,Female,0
2017,Guyana,Single-parent,0-17,Total,0
2017,Guyana,Single-parent,0-17,Male,0
2017,Guyana,Single-parent,0-17,Female,0
2017,Guyana,Single-parent,18+,Total,0
2017,Guyana,Single-parent,18+,Male,0
2017,Guyana,Single-parent,18+,Female,0
2017,Haiti,Total,Total,Total,0
2017,Haiti,Total,Total,Male,0
2017,Haiti,Total,Total,Female,0
2017,Haiti,Total,0-17,Total,0
2017,Haiti,Total,0-17,Male,0
2017,Haiti,Total,0-17,Female,0
2017,Haiti,Total,18+,Total,0
2017,Haiti,Total,18+,Male,0
2017,Haiti,Total,18+,Female,0
2017,Haiti,Two-parent,Total,Total,0
2017,Haiti,Two-parent,Total,Male,0
2017,Haiti,Two-parent,Total,Female,0
2017,Haiti,Two-parent,0-17,Total,0
2017,Haiti,Two-parent,0-17,Male,0
2017,Haiti,Two-parent,0-17,Female,0
2017,Haiti,Two-parent,18+,Total,0
2017,Haiti,Two-parent,18+,Male,0
2017,Haiti,Two-parent,18+,Female,0
2017,Haiti,Single-parent,Total,Total,0
2017,Haiti,Single-parent,Total,Male,0
2017,Haiti,Single-parent,Total,Female,0
2017,Haiti,Single-parent,0-17,Total,0
2017,Haiti,Single-parent,0-17,Male,0
2017,Haiti,Single-parent,0-17,Female,0
2017,Haiti,Single-parent,18+,Total,0
2017,Haiti,Single-parent,18+,Male,0
2017,Haiti,Single-parent,18+,Female,0
2017,Honduras,Total,Total,Total,0
2017,Honduras,Total,Total,Male,0
2017,Honduras,Total,Total,Female,0
2017,Honduras,Total,0-17,Total,0
2017,Honduras,Total,0-17,Male,0
2017,Honduras,Total,0-17,Female,0
2017,Honduras,Total,18+,Total,0
2017,Honduras,Total,18+,Male,0
