Year,Country_of_Birth,Adoption_Type,Age_Group,Gender,Number
2017,Belgium,Total,18+,Female,0
2017,Belgium,Two-parent,Total,Total,0
2017,Belgium,Two-parent,Total,Male,0
2017,Belgium,Two-parent,Total,Female,0
2017,Belgium,Two-parent,0-17,Total,0
2017,Belgium,Two-parent,0-17,Male,0
2017,Belgium,Two-parent,0-17,Female,0
2017,Belgium,Two-parent,18+,Total,0
2017,Belgium,Two-parent,18+,Male,0
2017,Belgium,Two-parent,18+,Female,0
2017,Belgium,Single-parent,Total,Total,0
2017,Belgium,Single-parent,Total,Male,0
2017,Belgium,Single-parent,Total,Female,0
2017,Belgium,Single-parent,0-17,Total,0
2017,Belgium,Single-parent,0-17,Male,0
2017,Belgium,Single-parent,0-17,Female,0
2017,Belgium,Single-parent,18+,Total,0
2017,Belgium,Single-parent,18+,Male,0
2017,Belgium,Single-parent,18+,Female,0
2017,United Kingdom,Total,Total,Total,1
2017,United Kingdom,Total,Total,Male,0
2017,United Kingdom,Total,Total,Female,1
2017,United Kingdom,Total,0-17,Total,1
2017,United Kingdom,Total,0-17,Male,0
2017,United Kingdom,Total,0-17,Female,1
2017,United Kingdom,Total,18+,Total,0
2017,United Kingdom,Total,18+,Male,0
2017,United Kingdom,Total,18+,Female,0
2017,United Kingdom,Two-parent,Total,Total,1
2017,United Kingdom,Two-parent,Total,Male,0
2017,United Kingdom,Two-parent,Total,Female,1
2017,United Kingdom,Two-parent,0-17,Total,1
2017,United Kingdom,Two-parent,0-17,Male,0
2017,United Kingdom,Two-parent,0-17,Female,1
2017,United Kingdom,Two-parent,18+,Total,0
2017,United Kingdom,Two-parent,18+,Male,0
2017,United Kingdom,Two-parent,18+,Female,0
2017,United Kingdom,Single-parent,Total,Total,0
2017,United Kingdom,Single-parent,Total,Male,0
2017,United Kingdom,Single-parent,Total,Female,0
2017,United Kingdom,Single-parent,0-17,Total,0
2017,United Kingdom,Single-parent,0-17,Male,0
2017,United Kingdom,Single-parent,0-17,Female,0
2017,United Kingdom,Single-parent,18+,Total,0
2017,United Kingdom,Single-parent,18+,Male,0
2017,United Kingdom,Single-parent,18+,Female,0
2017,Bulgaria,Total,Total,Total,0
2017,Bulgaria,Total,Total,Male,0
2017,Bulgaria,Total,Total,Female,0
2017,Bulgaria,Total,0-17,Total,0
2017,Bulgaria,Total,0-17,Male,0
2017,Bulgaria,Total,0-17,Female,0
2017,Bulgaria,Total,18+,Total,0
2017,Bulgaria,Total,18+,Male,0
2017,Bulgaria,Total,18+,Female,0
2017,Bulgaria,Two-parent,Total,Total,0
2017,Bulgaria,Two-parent,Total,Male,0
2017,Bulgaria,Two-parent,Total,Female,0
2017,Bulgaria,Two-parent,0-17,Total,0
2017,Bulgaria,Two-parent,0-17,Male,0
2017,Bulgaria,Two-parent,0-17,Female,0
2017,Bulgaria,Two-parent,18+,Total,0
2017,Bulgaria,Two-parent,18+,Male,0
2017,Bulgaria,Two-parent,18+,Female,0
2017,Bulgaria,Single-parent,Total,Total,0
2017,Bulgaria,Single-parent,Total,Male,0
2017,Bulgaria,Single-parent,Total,Female,0
2017,Bulgaria,Single-parent,0-17,Total,0
2017,Bulgaria,Single-parent,0-17,Male,0
2017,Bulgaria,Single-parent,0-17,Female,0
2017,Bulgaria,Single-parent,18+,Total,0
2017,Bulgaria,Single-parent,18+,Male,0
2017,Bulgaria,Single-parent,18+,Female,0
2017,Spain,Total,Total,Total,0
2017,Spain,Total,Total,Male,0
2017,Spain,Total,Total,Female,0
2017,Spain,Total,0-17,Total,0
2017,Spain,Total,0-17,Male,0
2017,Spain,Total,0-17,Female,0
2017,Spain,Total,18+,Total,0
2017,Spain,Total,18+,Male,0
2017,Spain,Total,18+,Female,0
2017,Spain,Two-parent,Total,Total,0
2017,Spain,Two-parent,Total,Male,0
2017,Spain,Two-parent,Total,Female,0
2017,Spain,Two-parent,0-17,Total,0
2017,Spain,Two-parent,0-17,Male,0
2017,Spain,Two-parent,0-17,Female,0
2017,Spain,Two-parent,18+,Total,0
2017,Spain,Two-parent,18+,Male,0
2017,Spain,Two-parent,18+,Female,0
2017,Spain,Single-parent,Total,Total,0
2017,Spain,Single-parent,Total,Male,0
2017,Spain,Single-parent,Total,Female,0
2017,Spain,Single-parent,0-17,Total,0
2017,Spain,Single-parent,0-17,Male,0
2017,Spain,Single-parent,0-17,Female,0
2017,Spain,Single-parent,18+,Total,0
2017,Spain,Single-parent,18+,Male,0
2017,Spain,Single-parent,18+,Female,0
2017,Ireland,Total,Total,Total,0
2017,Ireland,Total,Total,Male,0
2017,Ireland,Total,Total,Female,0
2017,Ireland,Total,0-17,Total,0
2017,Ireland,Total,0-17,Male,0
2017,Ireland,Total,0-17,Female,0
2017,Ireland,Total,18+,Total,0
2017,Ireland,Total,18+,Male,0
2017,Ireland,Total,18+,Female,0
2017,Ireland,Two-parent,Total,Total,0
2017,Ireland,Two-parent,Total,Male,0
2017,Ireland,Two-parent,Total,Female,0
2017,Ireland,Two-parent,0-17,Total,0
2017,Ireland,Two-parent,0-17,Male,0
2017,Ireland,Two-parent,0-17,Female,0
2017,Ireland,Two-parent,18+,Total,0
2017,Ireland,Two-parent,18+,Male,0
2017,Ireland,Two-parent,18+,Female,0
2017,Ireland,Single-parent,Total,Total,0
2017,Ireland,Single-parent,Total,Male,0
2017,Ireland,Single-parent,Total,Female,0
2017,Ireland,Single-parent,0-17,Total,0
2017,Ireland,Single-parent,0-17,Male,0
2017,Ireland,Single-parent,0-17,Female,0
2017,Ireland,Single-parent,18+,Total,0
2017,Ireland,Single-parent,18+,Male,0
2017,Ireland,Single-parent,18+,Female,0
2017,Italy,Total,Total,Total,0
2017,Italy,Total,Total,Male,0
2017,Italy,Total,Total,Female,0
2017,Italy,Total,0-17,Total,0
2017,Italy,Total,0-17,Male,0
2017,Italy,Total,0-17,Female,0
2017,Italy,Total,18+,Total,0
2017,Italy,Total,18+,Male,0
2017,Italy,Total,18+,Female,0
2017,Italy,Two-parent,Total,Total,0
2017,Italy,Two-parent,Total,Male,0
2017,Italy,Two-parent,Total,Female,0
2017,Italy,Two-parent,0-17,Total,0
2017,Italy,Two-parent,0-17,Male,0
2017,Italy,Two-parent,0-17,Female,0
2017,Italy,Two-parent,18+,Total,0
2017,Italy,Two-parent,18+,Male,0
2017,Italy,Two-parent,18+,Female,0
2017,Italy,Single-parent,Total,Total,0
2017,Italy,Single-parent,Total,Male,0
2017,Italy,Single-parent,Total,Female,0
2017,Italy,Single-parent,0-17,Total,0
2017,Italy,Single-parent,0-17,Male,0
2017,Italy,Single-parent,0-17,Female,0
2017,Italy,Single-parent,18+,Total,0
2017,Italy,Single-parent,18+,Male,0
2017,Italy,Single-parent,18+,Female,0
2017,Austria,Total,Total,Total,0
2017,Austria,Total,Total,Male,0
2017,Austria,Total,Total,Female,0
2017,Austria,Total,0-17,Total,0
2017,Austria,Total,0-17,Male,0
2017,Austria,Total,0-17,Female,0
2017,Austria,Total,18+,Total,0
2017,Austria,Total,18+,Male,0
2017,Austria,Total,18+,Female,0
2017,Austria,Two-parent,Total,Total,0
2017,Austria,Two-parent,Total,Male,0
2017,Austria,Two-parent,Total,Female,0
2017,Austria,Two-parent,0-17,Total,0
2017,Austria,Two-parent,0-17,Male,0
2017,Austria,Two-parent,0-17,Female,0
2017,Austria,Two-parent,18+,Total,0
2017,Austria,Two-parent,18+,Male,0
2017,Austria,Two-parent,18+,Female,0
2017,Austria,Single-parent,Total,Total,0
2017,Austria,Single-parent,Total,Male,0
2017,Austria,Single-parent,Total,Female,0
2017,Austria,Single-parent,0-17,Total,0
2017,Austria,Single-parent,0-17,Male,0
2017,Austria,Single-parent,0-17,Female,0
2017,Austria,Single-parent,18+,Total,0
2017,Austria,Single-parent,18+,Male,0
2017,Austria,Single-parent,18+,Female,0
2017,Greece,Total,Total,Total,0
2017,Greece,Total,Total,Male,0
2017,Greece,Total,Total,Female,0
2017,Greece,Total,0-17,Total,0
2017,Greece,Total,0-17,Male,0
2017,Greece,Total,0-17,Female,0
2017,Greece,Total,18+,Total,0
2017,Greece,Total,18+,Male,0
2017,Greece,Total,18+,Female,0
2017,Greece,Two-parent,Total,Total,0
2017,Greece,Two-parent,Total,Male,0
2017,Greece,Two-parent,Total,Female,0
2017,Greece,Two-parent,0-17,Total,0
2017,Greece,Two-parent,0-17,Male,0
2017,Greece,Two-parent,0-17,Female,0
2017,Greece,Two-parent,18+,Total,0
2017,Greece,Two-parent,18+,Male,0
2017,Greece,Two-parent,18+,Female,0
2017,Greece,Single-parent,Total,Total,0
2017,Greece,Single-parent,Total,Male,0
2017,Greece,Single-parent,Total,Female,0
2017,Greece,Single-parent,0-17,Total,0
2017,Greece,Single-parent,0-17,Male,0
2017,Greece,Single-parent,0-17,Female,0
2017,Greece,Single-parent,18+,Total,0
2017,Greece,Single-parent,18+,Male,0
2017,Greece,Single-parent,18+,Female,0
2017,Croatia,Total,Total,Total,0
2017,Croatia,Total,Total,Male,0
2017,Croatia,Total,Total,Female,0
2017,Croatia,Total,0-17,Total,0
2017,Croatia,Total,0-17,Male,0
2017,Croatia,Total,0-17,Female,0
2017,Croatia,Total,18+,Total,0
2017,Croatia,Total,18+,Male,0
2017,Croatia,Total,18+,Female,0
2017,Croatia,Two-parent,Total,Total,0
2017,Croatia,Two-parent,Total,Male,0
2017,Croatia,Two-parent,Total,Female,0
2017,Croatia,Two-parent,0-17,Total,0
2017,Croatia,Two-parent,0-17,Male,0
2017,Croatia,Two-parent,0-17,Female,0
2017,Croatia,Two-parent,18+,Total,0
2017,Croatia,Two-parent,18+,Male,0
2017,Croatia,Two-parent,18+,Female,0
2017,Croatia,Single-parent,Total,Total,0
2017,Croatia,Single-parent,Total,Male,0
2017,Croatia,Single-parent,Total,Female,0
2017,Croatia,Single-parent,0-17,Total,0
2017,Croatia,Single-parent,0-17,Male,0
2017,Croatia,Single-parent,0-17,Female,0
2017,Croatia,Single-parent,18+,Total,0
2017,Croatia,Single-parent,18+,Male,0
2017,Croatia,Single-parent,18+,Female,0
2017,Cyprus,Total,Total,Total,0
2017,Cyprus,Total,Total,Male,0
2017,Cyprus,Total,Total,Female,0
2017,Cyprus,Total,0-17,Total,0
2017,Cyprus,Total,0-17,Male,0
2017,Cyprus,Total,0-17,Female,0
2017,Cyprus,Total,18+,Total,0
2017,Cyprus,Total,18+,Male,0
2017,Cyprus,Total,18+,Female,0
2017,Cyprus,Two-parent,Total,Total,0
2017,Cyprus,Two-parent,Total,Male,0
2017,Cyprus,Two-parent,Total,Female,0
2017,Cyprus,Two-parent,0-17,Total,0
2017,Cyprus,Two-parent,0-17,Male,0
2017,Cyprus,Two-parent,0-17,Female,0
2017,Cyprus,Two-parent,18+,Total,0
2017,Cyprus,Two-parent,18+,Male,0
2017,Cyprus,Two-parent,18+,Female,0
2017,Cyprus,Single-parent,Total,Total,0
2017,Cyprus,Single-parent,Total,Male,0
2017,Cyprus,Single-parent,Total,Female,0
2017,Cyprus,Single-parent,0-17,Total,0
2017,Cyprus,Single-parent,0-17,Male,0
2017,Cyprus,Single-parent,0-17,Female,0
2017,Cyprus,Single-parent,18+,Total,0
2017,Cyprus,Single-parent,18+,Male,0
2017,Cyprus,Single-parent,18+,Female,0
2017,Latvia,Total,Total,Total,0
2017,Latvia,Total,Total,Male,0
2017,Latvia,Total,Total,Female,0
2017,Latvia,Total,0-17,Total,0
2017,Latvia,Total,0-17,Male,0
2017,Latvia,Total,0-17,Female,0
2017,Latvia,Total,18+,Total,0
2017,Latvia,Total,18+,Male,0
2017,Latvia,Total,18+,Female,0
2017,Latvia,Two-parent,Total,Total,0
2017,Latvia,Two-parent,Total,Male,0
2017,Latvia,Two-parent,Total,Female,0
2017,Latvia,Two-parent,0-17,Total,0
2017,Latvia,Two-parent,0-17,Male,0
2017,Latvia,Two-parent,0-17,Female,0
2017,Latvia,Two-parent,18+,Total,0
2017,Latvia,Two-parent,18+,Male,0
2017,Latvia,Two-parent,18+,Female,0
2017,Latvia,Single-parent,Total,Total,0
2017,Latvia,Single-parent,Total,Male,0
2017,Latvia,Single-parent,Total,Female,0
2017,Latvia,Single-parent,0-17,Total,0
2017,Latvia,Single-parent,0-17,Male,0
2017,Latvia,Single-parent,0-17,Female,0
2017,Latvia,Single-parent,18+,Total,0
2017,Latvia,Single-parent,18+,Male,0
2017,Latvia,Single-parent,18+,Female,0
2017,Lithuania,Total,Total,Total,0
2017,Lithuania,Total,Total,Male,0
2017,Lithuania,Total,Total,Female,0
2017,Lithuania,Total,0-17,Total,0
2017,Lithuania,Total,0-17,Male,0
2017,Lithuania,Total,0-17,Female,0
2017,Lithuania,Total,18+,Total,0
2017,Lithuania,Total,18+,Male,0
2017,Lithuania,Total,18+,Female,0
2017,Lithuania,Two-parent,Total,Total,0
2017,Lithuania,Two-parent,Total,Male,0
2017,Lithuania,Two-parent,Total,Female,0
2017,Lithuania,Two-parent,0-17,Total,0
2017,Lithuania,Two-parent,0-17,Male,0
2017,Lithuania,Two-parent,0-17,Female,0
2017,Lithuania,Two-parent,18+,Total,0
2017,Lithuania,Two-parent,18+,Male,0
2017,Lithuania,Two-parent,18+,Female,0
2017,Lithuania,Single-parent,Total,Total,0
2017,Lithuania,Single-parent,Total,Male,0
2017,Lithuania,Single-parent,Total,Female,0
2017,Lithuania,Single-parent,0-17,Total,0
2017,Lithuania,Single-parent,0-17,Male,0
2017,Lithuania,Single-parent,0-17,Female,0
2017,Lithuania,Single-parent,18+,Total,0
2017,Lithuania,Single-parent,18+,Male,0
2017,Lithuania,Single-parent,18+,Female,0
2017,Luxembourg,Total,Total,Total,0
2017,Luxembourg,Total,Total,Male,0
2017,Luxembourg,Total,Total,Female,0
2017,Luxembourg,Total,0-17,Total,0
2017,Luxembourg,Total,0-17,Male,0
2017,Luxembourg,Total,0-17,Female,0
2017,Luxembourg,Total,18+,Total,0
2017,Luxembourg,Total,18+,Male,0
2017,Luxembourg,Total,18+,Female,0
2017,Luxembourg,Two-parent,Total,Total,0
2017,Luxembourg,Two-parent,Total,Male,0
2017,Luxembourg,Two-parent,Total,Female,0
2017,Luxembourg,Two-parent,0-17,Total,0
2017,Luxembourg,Two-parent,0-17,Male,0
2017,Luxembourg,Two-parent,0-17,Female,0
2017,Luxembourg,Two-parent,18+,Total,0
2017,Luxembourg,Two-parent,18+,Male,0
2017,Luxembourg,Two-parent,18+,Female,0
2017,Luxembourg,Single-parent,Total,Total,0
2017,Luxembourg,Single-parent,Total,Male,0
2017,Luxembourg,Single-parent,Total,Female,0
2017,Luxembourg,Single-parent,0-17,Total,0
2017,Luxembourg,Single-parent,0-17,Male,0
2017,Luxembourg,Single-parent,0-17,Female,0
2017,Luxembourg,Single-parent,18+,Total,0
2017,Luxembourg,Single-parent,18+,Male,0
2017,Luxembourg,Single-parent,18+,Female,0
2017,Malta,Total,Total,Total,0
2017,Malta,Total,Total,Male,0
2017,Malta,Total,Total,Female,0
2017,Malta,Total,0-17,Total,0
2017,Malta,Total,0-17,Male,0
2017,Malta,Total,0-17,Female,0
2017,Malta,Total,18+,Total,0
2017,Malta,Total,18+,Male,0
2017,Malta,Total,18+,Female,0
2017,Malta,Two-parent,Total,Total,0
2017,Malta,Two-parent,Total,Male,0
2017,Malta,Two-parent,Total,Female,0
2017,Malta,Two-parent,0-17,Total,0
2017,Malta,Two-parent,0-17,Male,0
2017,Malta,Two-parent,0-17,Female,0
2017,Malta,Two-parent,18+,Total,0
2017,Malta,Two-parent,18+,Male,0
2017,Malta,Two-parent,18+,Female,0
2017,Malta,Single-parent,Total,Total,0
2017,Malta,Single-parent,Total,Male,0
2017,Malta,Single-parent,Total,Female,0
2017,Malta,Single-parent,0-17,Total,0
2017,Malta,Single-parent,0-17,Male,0
2017,Malta,Single-parent,0-17,Female,0
2017,Malta,Single-parent,18+,Total,0
2017,Malta,Single-parent,18+,Male,0
2017,Malta,Single-parent,18+,Female,0
2017,Portugal,Total,Total,Total,0
2017,Portugal,Total,Total,Male,0
2017,Portugal,Total,Total,Female,0
2017,Portugal,Total,0-17,Total,0
2017,Portugal,Total,0-17,Male,0
2017,Portugal,Total,0-17,Female,0
2017,Portugal,Total,18+,Total,0
2017,Portugal,Total,18+,Male,0
2017,Portugal,Total,18+,Female,0
2017,Portugal,Two-parent,Total,Total,0
2017,Portugal,Two-parent,Total,Male,0
2017,Portugal,Two-parent,Total,Female,0
2017,Portugal,Two-parent,0-17,Total,0
2017,Portugal,Two-parent,0-17,Male,0
2017,Portugal,Two-parent,0-17,Female,0
2017,Portugal,Two-parent,18+,Total,0
2017,Portugal,Two-parent,18+,Male,0
2017,Portugal,Two-parent,18+,Female,0
2017,Portugal,Single-parent,Total,Total,0
2017,Portugal,Single-parent,Total,Male,0
2017,Portugal,Single-parent,Total,Female,0
2017,Portugal,Single-parent,0-17,Total,0
2017,Portugal,Single-parent,0-17,Male,0
2017,Portugal,Single-parent,0-17,Female,0
2017,Portugal,Single-parent,18+,Total,0
2017,Portugal,Single-parent,18+,Male,0
2017,Portugal,Single-parent,18+,Female,0
2017,Poland,Total,Total,Total,1
2017,Poland,Total,Total,Male,1
2017,Poland,Total,Total,Female,0
2017,Poland,Total,0-17,Total,1
2017,Poland,Total,0-17,Male,1
2017,Poland,Total,0-17,Female,0
2017,Poland,Total,18+,Total,0
2017,Poland,Total,18+,Male,0
2017,Poland,Total,18+,Female,0
2017,Poland,Two-parent,Total,Total,0
2017,Poland,Two-parent,Total,Male,0
2017,Poland,Two-parent,Total,Female,0
2017,Poland,Two-parent,0-17,Total,0
2017,Poland,Two-parent,0-17,Male,0
2017,Poland,Two-parent,0-17,Female,0
2017,Poland,Two-parent,18+,Total,0
2017,Poland,Two-parent,18+,Male,0
2017,Poland,Two-parent,18+,Female,0
2017,Poland,Single-parent,Total,Total,1
2017,Poland,Single-parent,Total,Male,1
2017,Poland,Single-parent,Total,Female,0
2017,Poland,Single-parent,0-17,Total,1
2017,Poland,Single-parent,0-17,Male,1
2017,Poland,Single-parent,0-17,Female,0
2017,Poland,Single-parent,18+,Total,0
2017,Poland,Single-parent,18+,Male,0
